"","ccsCode","ccsCodeDesc","count"
"1","10","Immunizations and screening for infectious disease",5
"2","100","Acute myocardial infarction",149
"3","101","Coronary atherosclerosis and other heart disease",120
"4","102","Nonspecific chest pain",1772
"5","103","Pulmonary heart disease",25
"6","104","Other and ill-defined heart disease",3
"7","105","Conduction disorders",23
"8","106","Cardiac dysrhythmias",904
"9","107","Cardiac arrest and ventricular fibrillation",95
"10","108","Congestive heart failure; nonhypertensive",243
"11","109","Acute cerebrovascular disease",163
"12","11","Cancer of head and neck",1
"13","111","Other and ill-defined cerebrovascular disease",1
"14","112","Transient cerebral ischemia",47
"15","113","Late effects of cerebrovascular disease",1
"16","114","Peripheral and visceral atherosclerosis",12
"17","115","Aortic; peripheral; and visceral artery aneurysms",21
"18","116","Aortic and peripheral arterial embolism or thrombosis",2
"19","117","Other circulatory disease",134
"20","118","Phlebitis; thrombophlebitis and thromboembolism",80
"21","119","Varicose veins of lower extremity",11
"22","12","Cancer of esophagus",1
"23","120","Hemorrhoids",71
"24","121","Other diseases of veins and lymphatics",27
"25","122","Pneumonia (except that caused by tuberculosis or sexually transmitted disease)",907
"26","123","Influenza",364
"27","124","Acute and chronic tonsillitis",187
"28","125","Acute bronchitis",109
"29","126","Other upper respiratory infections",1657
"30","127","Chronic obstructive pulmonary disease and bronchiectasis",482
"31","128","Asthma",129
"32","129","Aspiration pneumonitis; food/vomitus",22
"33","13","Cancer of stomach",3
"34","130","Pleurisy; pneumothorax; pulmonary collapse",47
"35","131","Respiratory failure; insufficiency; arrest (adult)",8
"36","132","Lung disease due to external agents",1
"37","133","Other lower respiratory disease",1534
"38","134","Other upper respiratory disease",274
"39","135","Intestinal infection",224
"40","136","Disorders of teeth and jaw",108
"41","137","Diseases of mouth; excluding dental",96
"42","138","Esophageal disorders",83
"43","139","Gastroduodenal ulcer (except hemorrhage)",4
"44","14","Cancer of colon",2
"45","140","Gastritis and duodenitis",297
"46","141","Other disorders of stomach and duodenum",11
"47","142","Appendicitis and other appendiceal conditions",149
"48","143","Abdominal hernia",59
"49","144","Regional enteritis and ulcerative colitis",28
"50","145","Intestinal obstruction without hernia",115
"51","146","Diverticulosis and diverticulitis",86
"52","147","Anal and rectal conditions",93
"53","148","Peritonitis and intestinal abscess",14
"54","149","Biliary tract disease",218
"55","15","Cancer of rectum and anus",2
"56","151","Other liver diseases",43
"57","152","Pancreatic disorders (not diabetes)",78
"58","153","Gastrointestinal hemorrhage",187
"59","154","Noninfectious gastroenteritis",1113
"60","155","Other gastrointestinal disorders",525
"61","156","Nephritis; nephrosis; renal sclerosis",2
"62","157","Acute and unspecified renal failure",142
"63","158","Chronic kidney disease",13
"64","159","Urinary tract infections",1083
"65","16","Cancer of liver and intrahepatic bile duct",4
"66","160","Calculus of urinary tract",495
"67","161","Other diseases of kidney and ureters",16
"68","162","Other diseases of bladder and urethra",9
"69","163","Genitourinary symptoms and ill-defined conditions",358
"70","164","Hyperplasia of prostate",17
"71","165","Inflammatory conditions of male genital organs",182
"72","166","Other male genital disorders",57
"73","167","Nonmalignant breast conditions",85
"74","168","Inflammatory diseases of female pelvic organs",27
"75","169","Endometriosis",9
"76","17","Cancer of pancreas",10
"77","170","Prolapse of female genital organs",5
"78","171","Menstrual disorders",128
"79","172","Ovarian cyst",44
"80","173","Menopausal disorders",3
"81","174","Female infertility",1
"82","175","Other female genital disorders",340
"83","176","Contraceptive and procreative management",1
"84","177","Spontaneous abortion",65
"85","178","Induced abortion",3
"86","18","Cancer of other GI organs; peritoneum",2
"87","180","Ectopic pregnancy",18
"88","181","Other complications of pregnancy",86
"89","182","Hemorrhage during pregnancy; abruptio placenta; placenta previa",103
"90","183","Hypertension complicating pregnancy; childbirth and the puerperium",3
"91","184","Early or threatened labor",2
"92","189","Previous C-section",1
"93","19","Cancer of bronchus; lung",15
"94","191","Polyhydramnios and other problems of amniotic cavity",1
"95","195","Other complications of birth; puerperium affecting management of mother",16
"96","196","Other pregnancy and delivery including normal",5
"97","197","Skin and subcutaneous tissue infections",662
"98","198","Other inflammatory condition of skin",59
"99","199","Chronic ulcer of skin",22
"100","2","Septicemia (except in labor)",110
"101","200","Other skin disorders",495
"102","201","Infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)",24
"103","202","Rheumatoid arthritis and related disease",2
"104","203","Osteoarthritis",48
"105","204","Other non-traumatic joint disorders",887
